AC001,2025-04-10 11:39:22,1263.01
WM002,2025-04-10 11:39:26,645.96
FR003,2025-04-10 11:39:30,192.31
AC001,2025-04-10 11:39:39,1616.99
WM002,2025-04-10 11:39:44,946.96
FR003,2025-04-10 11:39:48,240.37
AC001,2025-04-10 11:39:57,1492.85
WM002,2025-04-10 11:40:01,767.64
FR003,2025-04-10 11:40:05,115.9
AC001,2025-04-10 11:40:14,1203.76
WM002,2025-04-10 11:40:18,752.42
FR003,2025-04-10 11:40:22,167.04
AC001,2025-04-10 11:40:31,1389.69
WM002,2025-04-10 11:40:35,882.56
FR003,2025-04-10 11:40:40,221.49
AC001,2025-04-10 11:40:49,1758.13
WM002,2025-04-10 11:40:53,941.69
FR003,2025-04-10 11:40:57,140.96
AC001,2025-04-10 11:41:06,1229.61
WM002,2025-04-10 11:41:10,509.96
FR003,2025-04-10 11:41:14,262.29
AC001,2025-04-10 11:41:23,1718.29
WM002,2025-04-10 11:41:27,541.6
FR003,2025-04-10 11:41:31,201.55
AC001,2025-04-10 11:41:40,1787.39
WM002,2025-04-10 11:41:45,656.88
FR003,2025-04-10 11:41:49,111.2
AC001,2025-04-10 11:41:58,1529.64
WM002,2025-04-10 11:42:02,743.4
FR003,2025-04-10 11:42:06,192.47
AC001,2025-04-10 11:42:15,1368.35
WM002,2025-04-10 11:42:19,553.57
FR003,2025-04-10 11:42:23,260.86
AC001,2025-04-10 11:42:32,1392.71
WM002,2025-04-10 11:42:36,838.19
FR003,2025-04-10 11:42:40,252.05
AC001,2025-04-10 11:42:50,1458.16
WM002,2025-04-10 11:42:54,951.71
FR003,2025-04-10 11:42:58,125.33
AC001,2025-04-10 11:43:07,1519.33
WM002,2025-04-10 11:43:11,724.45
FR003,2025-04-10 11:43:15,130.21
AC001,2025-04-10 11:43:24,1464.72
WM002,2025-04-10 11:43:28,902.09
FR003,2025-04-10 11:43:32,213.17
AC001,2025-04-10 11:43:41,1795.08
WM002,2025-04-10 11:43:45,567.99
FR003,2025-04-10 11:43:49,234.39
AC001,2025-04-10 11:43:59,1402.85
WM002,2025-04-10 11:44:03,866.87
FR003,2025-04-10 11:44:07,275.98
AC001,2025-04-10 11:44:16,1737.86
WM002,2025-04-10 11:44:20,606.4
FR003,2025-04-10 11:44:24,276.41
AC001,2025-04-10 11:44:33,1308.81
WM002,2025-04-10 11:44:37,533.51
FR003,2025-04-10 11:44:41,182.9
AC001,2025-04-10 11:44:50,1680.17
WM002,2025-04-10 11:44:54,847.95
FR003,2025-04-10 11:44:58,291.74
AC001,2025-04-10 11:45:08,1565.73
WM002,2025-04-10 11:45:12,839.74
FR003,2025-04-10 11:45:16,270.24
AC001,2025-04-10 11:45:25,1255.69
WM002,2025-04-10 11:45:29,604.37
FR003,2025-04-10 11:45:33,150.07
AC001,2025-04-10 11:45:42,1720.79
WM002,2025-04-10 11:45:46,751.34
FR003,2025-04-10 11:45:50,104.57
AC001,2025-04-10 11:45:59,1459.86
WM002,2025-04-10 11:46:03,921.8
FR003,2025-04-10 11:46:07,245.4
AC001,2025-04-10 11:46:17,1462.3
WM002,2025-04-10 11:46:21,703.03
FR003,2025-04-10 11:46:25,186.25
AC001,2025-04-10 11:46:34,1738.68
WM002,2025-04-10 11:46:38,644.55
FR003,2025-04-10 11:46:42,194.0
AC001,2025-04-10 11:46:51,1679.84
WM002,2025-04-10 11:46:55,954.19
FR003,2025-04-10 11:46:59,273.8
AC001,2025-04-10 11:47:08,1364.38
WM002,2025-04-10 11:47:12,762.07
FR003,2025-04-10 11:47:16,176.82
AC001,2025-04-10 11:47:26,1653.09
WM002,2025-04-10 11:47:30,776.28
FR003,2025-04-10 11:47:34,198.51
AC001,2025-04-10 11:47:43,1362.62
WM002,2025-04-10 11:47:47,973.59
FR003,2025-04-10 11:47:51,255.43
AC001,2025-04-10 11:48:00,1713.25
WM002,2025-04-10 11:48:04,933.71
FR003,2025-04-10 11:48:08,165.85
AC001,2025-04-10 11:48:17,1747.75
WM002,2025-04-10 11:48:21,917.21
FR003,2025-04-10 11:48:25,225.96
AC001,2025-04-10 11:48:35,1662.45
WM002,2025-04-10 11:48:39,887.36
FR003,2025-04-10 11:48:43,192.98
AC001,2025-04-10 11:48:52,1332.86
WM002,2025-04-10 11:48:56,596.09
FR003,2025-04-10 11:49:00,125.74
AC001,2025-04-10 11:49:09,1439.79
WM002,2025-04-10 11:49:13,870.93
FR003,2025-04-10 11:49:17,158.63
AC001,2025-04-10 11:49:26,1485.91
WM002,2025-04-10 11:49:30,734.83
FR003,2025-04-10 11:49:34,202.27
AC001,2025-04-10 11:49:44,1645.41
WM002,2025-04-10 11:49:48,526.9
FR003,2025-04-10 11:49:52,123.51
AC001,2025-04-10 11:50:01,1409.26
WM002,2025-04-10 11:50:05,981.73
FR003,2025-04-10 11:50:09,152.04
AC001,2025-04-10 11:50:18,1499.27
WM002,2025-04-10 11:50:22,649.23
FR003,2025-04-10 11:50:26,263.87
AC001,2025-04-10 11:50:35,1457.25
WM002,2025-04-10 11:50:39,836.33
FR003,2025-04-10 11:50:43,121.4
AC001,2025-04-10 11:50:53,1769.31
WM002,2025-04-10 11:50:57,983.95
FR003,2025-04-10 11:51:01,227.04
AC001,2025-04-10 11:51:10,1370.36
WM002,2025-04-10 11:51:14,514.75
FR003,2025-04-10 11:51:18,233.71
AC001,2025-04-10 11:51:27,1677.71
WM002,2025-04-10 11:51:31,653.57
FR003,2025-04-10 11:51:35,119.35
AC001,2025-04-10 11:51:44,1470.98
WM002,2025-04-10 11:51:48,740.65
FR003,2025-04-10 11:51:52,263.67
AC001,2025-04-10 11:52:01,1289.89
WM002,2025-04-10 11:52:05,727.47
FR003,2025-04-10 11:52:10,176.11
AC001,2025-04-10 11:52:19,1448.83
WM002,2025-04-10 11:52:23,610.32
FR003,2025-04-10 11:52:27,140.5
AC001,2025-04-10 11:52:36,1666.69
WM002,2025-04-10 11:52:40,976.6
FR003,2025-04-10 11:52:44,271.05
AC001,2025-04-10 11:52:53,1346.4
WM002,2025-04-10 11:52:57,956.17
FR003,2025-04-10 11:53:01,139.35
AC001,2025-04-10 11:53:10,1207.94
WM002,2025-04-10 11:53:14,623.03
